LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-10-20 09:11:45,1900-01-00 00:00:00,,EE:85:90:67:87:98,-45, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,62:94:63:7E:58:C5,-62, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,CC:ED:DC:1C:0E:71,-66, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,iPhone de Bastian,EE:85:90:67:87:98,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,58:EF:68:47:59:C8,-64, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,98:FC:11:86:B6:B9,-56, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,Kevin's Galaxy S21+ 5G,62:94:63:7E:58:C5,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,98:FC:11:86:B6:B9,-56, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:45,1900-01-00 00:00:00,,84:D8:1B:C6:83:E9,-75, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,,B0:48:7A:D2:DD:74,-45, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,,8A:D8:1B:C6:83:E9,-69, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,FAMILIAGL_EXT,84:D8:1B:C6:83:E9,-70, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,,A8:2B:CD:DE:18:48,-78, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,,14:CC:20:E8:EB:35,-74, ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,JPablo,CC:ED:DC:1C:0E:71,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,JPablo_EXT,14:CC:20:E8:EB:35,-75, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,JPablo,CC:ED:DC:1C:0E:71,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,JPablo_EXT,14:CC:20:E8:EB:35,-77, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-10-20 09:11:46,1900-01-00 00:00:00,,E0:0A:F6:3C:E0:91,-51,,0.000000,0.000000,0.000,0.000,Client
2023-10-20 09:11:46,1900-01-00 00:00:00,WEP,B0:48:7A:D2:DD:74,-50, WEP ,0.000000,0.000000,0.000,0.000,AP
