Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;VTR-4173485;48:D3:43:5D:56:D9;;11;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 09:11:55 2023;Fri Oct 20 09:14:02 2023;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;78:29:ED:AF:C6:D7;;11;No;WPA,None;No;-1.0;0;0;0;1045;0;0;1045;;;Fri Oct 20 09:11:47 2023;Fri Oct 20 09:14:49 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;CLINICA_VISITAS;EC:08:6B:BC:D2:12;;2;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 09:12:40 2023;Fri Oct 20 09:14:43 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Myhome;E4:AB:89:05:FA:D8;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 09:12:20 2023;Fri Oct 20 09:14:31 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Casaplina;A0:64:8F:D1:56:88;;6;No;WPA2,AES-CCM;No;130.0;0;1;0;0;0;0;0;;;Fri Oct 20 09:13:18 2023;Fri Oct 20 09:14:27 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;E6:AB:89:1C:85:38;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;JPablo_EXT;14:CC:20:E8:EB:35;;8;No;WPA,AES-CCM,TKIP;No;270.0;0;37;0;3;0;0;3;;;Fri Oct 20 09:11:46 2023;Fri Oct 20 09:14:43 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;VTR-1506154;18:35:D1:8D:60:81;;6;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 09:12:53 2023;Fri Oct 20 09:14:27 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;VTR-9887810;C0:05:C2:80:95:D9;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 09:12:09 2023;Fri Oct 20 09:14:42 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Matias;A4:6D:A4:4A:1E:CC;;6;No;WPA2,WPA,AES-CCM;No;400.0;0;3;0;0;0;0;0;;;Fri Oct 20 09:13:33 2023;Fri Oct 20 09:14:38 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
